"uid1","idx","uid2"
 "LA122","3","GP140"
 "LA074","8","BB066"
 "LA074","8","BB065"
 "LA085","3","BB066"
 "LA085","3","BB065"
 "LA122","3","BF250"
 "LA122","3","GP137"
 "LA074","3","LA079"
 "GP103","8","BB066"
 "GP103","8","BB065"
 "GP103","3","LA074"
 "LA105","2","GP140"
 "LA106","2","GP140"
 "LA105","2","GP136"
 "LA105","2","GP137"
 "LA106","2","GP136"
 "LA106","2","GP137"
 "LC037","3","GP140"
 "LC037","3","GP136"
 "BD020","8","LC037"
 "LA107","1","GP139"
 "GP140","3","LA288"
 "BF250","3","GP139"
 "BF250","3","GP140"
 "BF250","3","GP137"
 "AC053","1","GP139"
 "AC053","1","GP140"
 "AC053","1","GP136"
 "AC053","1","GP137"
 "AC053","1","LA107"
 "AC053","3","LC037"
 "AC053","3","LA288"
 "AC053","3","BF250"
 "AC053","3","BB066"
 "AC053","3","BB065"
 "GP139","3","LC037"
 "GP139","3","LA288"
 "LA092","2","LA091"
 "LA100","1","LA101"
 "LA100","1","LA102"
 "LA101","1","LA102"
 "LA109","1","LA110"
 "LA036","2","LA109"
 "LA036","2","LA110"
 "GP037","3","LA109"
 "GP037","3","LA110"
 "GP039","3","LA109"
 "GP039","3","LA110"
 "LA168","1","LA167"
 "AC057","1","AC056"
 "AC084","1","AC083"
 "AC113","2","AC112"
 "AC125","1","AC129"
 "AC125","1","AC130"
 "AC127","1","AC129"
 "AC129","1","AC130"
 "LA212","1","LA211"
 "LA217","1","LA218"
 "LA233","3","LA236"
 "LA249","1","LA248"
 "BB002","8","LS016"
 "LC031","1","BB077"
 "LC031","1","LS076"
 "LC031","1","LS077"
 "LC032","1","BB076"
 "LC032","1","BB077"
 "LC032","1","LS076"
 "LC032","1","LS077"
 "LC031","1","BB076"
 "LA122","3","LA288"
 "LA122","3","LC037"
 "LA105","2","LA122"
 "LA106","2","LA122"
 "LS246","3","LA251"
 "LA013","6","LA249"
 "LA277","1","LA276"
 "LA277","1","LA278"
 "LA276","1","LA278"
 "LA262","11","LA261"
 "LA262","11","LA260"
 "LA196","6","LA213"
 "BF214","2","DB085"
 "GP047","11","LA036"
 "BF214","7","DB005"
 "GP048","11","LA036"
